num_agents,world_size,obs_density,el_mean,el_std,mr_mean,mr_std,co_mean,co_std,sr_mean,distance,block,congestion
10,15,0,19.42,3.468,10,0,0,0,1,0.1,-1,0
10,15,0.15,20.64,4.034,10,0,0,0.001,1,0.1,-1,0
10,15,0.3,30.31,14.642,10,0,0.001,0.004,1,0.1,-1,0
20,15,0,26.05,9.247,20,0,0,0,1,0.1,-1,0
20,15,0.15,30.59,24.311,19.99,0.099,0.002,0.003,0.99,0.1,-1,0
20,15,0.3,55.36,49.894,19.96,0.196,0.007,0.007,0.96,0.1,-1,0
30,15,0,37.26,18.629,30,0,0,0,1,0.1,-1,0
30,15,0.15,45.03,29.025,29.99,0.099,0.002,0.002,0.99,0.1,-1,0
30,15,0.3,97.65,67.266,29.85,0.477,0.014,0.014,0.9,0.1,-1,0
40,15,0,57,40.599,39.99,0.099,0.001,0.001,0.99,0.1,-1,0
40,15,0.15,65.61,47.268,39.92,0.523,0.004,0.005,0.96,0.1,-1,0
40,15,0.3,156.62,76.716,39.43,1.409,0.022,0.021,0.71,0.1,-1,0
10,15,0,19.03,3.242,10,0,0,0,1,0.1,-0.75,0
10,15,0.15,20.3,4.019,10,0,0,0.001,1,0.1,-0.75,0
10,15,0.3,32.89,27.637,9.98,0.199,0.002,0.005,0.99,0.1,-0.75,0
20,15,0,21.9,3.005,20,0,0,0,1,0.1,-0.75,0
20,15,0.15,25.33,6.586,20,0,0.001,0.003,1,0.1,-0.75,0
20,15,0.3,58.18,55.385,19.9,0.5,0.009,0.014,0.95,0.1,-0.75,0
30,15,0,23.19,3.577,30,0,0,0.001,1,0.1,-0.75,0
30,15,0.15,33.59,25.079,29.99,0.099,0.002,0.003,0.99,0.1,-0.75,0
30,15,0.3,140.63,92.028,29.36,1.331,0.015,0.017,0.67,0.1,-0.75,0
40,15,0,28.31,23.367,39.99,0.099,0.001,0.001,0.99,0.1,-0.75,0
40,15,0.15,78.26,83.101,39.81,0.462,0.007,0.007,0.84,0.1,-0.75,0
40,15,0.3,210.39,75.708,38.17,2.4,0.026,0.032,0.3,0.1,-0.75,0
10,15,0,18.85,3.697,10,0,0,0,1,0.1,-0.5,0
10,15,0.15,20.69,6.46,10,0,0,0,1,0.1,-0.5,0
10,15,0.3,31.19,26.095,9.99,0.099,0.002,0.004,0.99,0.1,-0.5,0
20,15,0,22.35,3.864,20,0,0,0.001,1,0.1,-0.5,0
20,15,0.15,27.09,7.188,20,0,0.001,0.002,1,0.1,-0.5,0
20,15,0.3,54.87,43.005,19.97,0.171,0.005,0.006,0.97,0.1,-0.5,0
30,15,0,26.22,8.22,30,0,0,0.001,1,0.1,-0.5,0
30,15,0.15,45.4,41.514,29.97,0.222,0.002,0.003,0.98,0.1,-0.5,0
30,15,0.3,124.43,79.825,29.72,0.618,0.01,0.01,0.8,0.1,-0.5,0
40,15,0,45.66,45.155,39.97,0.171,0,0.001,0.97,0.1,-0.5,0
40,15,0.15,75.36,63.499,39.85,0.638,0.005,0.007,0.92,0.1,-0.5,0
40,15,0.3,163.53,78.134,39.13,1.701,0.021,0.019,0.66,0.1,-0.5,0
10,15,0,19.21,4.011,10,0,0,0,1,0.1,-0.25,0
10,15,0.15,20.42,4.733,10,0,0,0.001,1,0.1,-0.25,0
10,15,0.3,30.66,26.762,9.98,0.199,0.003,0.008,0.99,0.1,-0.25,0
20,15,0,22.36,2.972,20,0,0,0,1,0.1,-0.25,0
20,15,0.15,24.9,6.804,20,0,0.001,0.003,1,0.1,-0.25,0
20,15,0.3,62.45,60.244,19.87,0.541,0.008,0.012,0.93,0.1,-0.25,0
30,15,0,24.29,3.163,30,0,0,0.001,1,0.1,-0.25,0
30,15,0.15,36.59,27.695,29.99,0.099,0.003,0.006,0.99,0.1,-0.25,0
30,15,0.3,126.37,86.284,29.69,0.628,0.012,0.014,0.76,0.1,-0.25,0
40,15,0,32.36,32.673,39.98,0.14,0.001,0.001,0.98,0.1,-0.25,0
40,15,0.15,70.94,67.844,39.89,0.343,0.005,0.004,0.9,0.1,-0.25,0
40,15,0.3,187.07,82.463,38.57,3.182,0.025,0.033,0.46,0.1,-0.25,0
10,15,0,18.45,3.294,10,0,0,0.001,1,0.1,0.25,0
10,15,0.15,19.84,4.103,10,0,0,0.001,1,0.1,0.25,0
10,15,0.3,34.1,34.057,9.96,0.28,0.002,0.007,0.98,0.1,0.25,0
20,15,0,21.48,3.164,20,0,0,0,1,0.1,0.25,0
20,15,0.15,25.12,8.9,20,0,0.001,0.003,1,0.1,0.25,0
20,15,0.3,52.05,45.078,19.94,0.369,0.01,0.015,0.97,0.1,0.25,0
30,15,0,23.93,3.562,30,0,0,0.001,1,0.1,0.25,0
30,15,0.15,30.77,9.96,30,0,0.003,0.003,1,0.1,0.25,0
30,15,0.3,89.21,66.232,29.88,0.407,0.019,0.018,0.91,0.1,0.25,0
40,15,0,26.81,7.708,40,0,0.001,0.001,1,0.1,0.25,0
40,15,0.15,53.59,52.372,39.95,0.218,0.007,0.006,0.95,0.1,0.25,0
40,15,0.3,163.39,87.33,39.05,1.962,0.03,0.03,0.56,0.1,0.25,0
10,15,0,19.24,3.43,10,0,0,0,1,0.1,0.5,0
10,15,0.15,20.07,3.699,10,0,0,0.001,1,0.1,0.5,0
10,15,0.3,29.64,24.201,9.99,0.099,0.002,0.005,0.99,0.1,0.5,0
20,15,0,21.71,3.592,20,0,0,0,1,0.1,0.5,0
20,15,0.15,25.52,5.742,20,0,0.001,0.002,1,0.1,0.5,0
20,15,0.3,51.12,49.266,19.94,0.369,0.006,0.007,0.97,0.1,0.5,0
